白葱 1/2~1本
牛乳 200ccくらい
ミートソース（缶詰） 1個（約300g）
ウインナー ２本
卵 ２個
ニンニク(薄切り) 1かけ
醤油 大さじ２
カレー粉（S&B粉タイプのルー） 1匙（付属のスプーン）
牛こま切れ肉 100g
人参 中１/２本
コチュジャン 大さじ２
きざみねぎ 好きなだけ
マーボー豆腐の素 1回分
ウィンナー ４本
マーマイト 適量
醤油A 大さじ３
大根 ４分の１～半分
お好きなチーズ 適量
米 2合
たまねぎ 中サイズ１個
オレンジジュース さつまいもがかぶるくらい
しょうゆ 大匙１
パン粉 適量
白菜 1/4個
さとう 小さじ１/４～１/２
☆豆板醤 小さじ１/２
ハム 1枚
デコフリ(赤､緑､紫､) 適量
もやし 半パック
●ゆで卵の黄身 Lサイズ3個分
おから ７０ｇ位
マヨネーズ 適量
昆布 40g
豚ひき肉 240g
牛乳 2/1カップ
ご飯 軽く1〜1膳半
青のり 適量
しょうが薄切り 2枚
砂糖 ２５グラム
干しいちじく（トルコ産の小さいタイプ） 5粒
水煮大豆 150ｇ
　酒 大さじ１
にんじん 1/2本
豆乳 1カップ
生姜汁 小さじ1
ココア ５ｇ
タマゴ ２個
にんじん ２/３本
酒 少々
ﾛｰﾙｹｰｷ 半分
生姜・にんにく・粉唐辛子 少々
ピーナッツ ２０ｇ（大さじ２位）
★ツナ缶 １缶
ホタテ貝柱の水煮缶(身と缶汁に分けておく) 1缶
生クリーム 2/1カップ
卵 4〜5個
　ニンニクすりおろし １/２片
ニンニクの芽 ２本
人参 １本
オリーブオイル ４５ｃｃ
玉ねぎ 大１個
お水 ２カップ弱
里芋 中3個
にんにく(みじん切り) 1片
白すりごま 20ｇ
もやし 1/2袋
オリーブオイル 大匙１
鶏胸肉 一枚
やげん軟骨 ８コほど
牛切り落とし肉 100g
なますの甘酢 大さじ１
たまねぎ 中1/2個
長ネギ 中１２センチ×２本
ピーマン ２個
卵 ４個
マヨネーズ 大さじ２～３
砂糖 ティースプーン2杯位
ちくわ 1本
貝割れ大根 １パック
ベーコン（ハムでも可） １枚
塩 ８ｇ
スモークサーモン 100g
砂糖 １５ｇ
塩コショウ 少々
きゅうり 1本
きゅうり 1本
塩 適量
りんご １／４個
☆すり胡麻 小さじ山盛り１
ご飯 ２～３杯分
ニンニク １片
じゃがいも 2個　多いほどトロトロに
コーンスターチ 半カップ強
キャベツ 1/4玉（約350ｇ）
砂糖 小さじ1
納豆 2パック
ニラ 半束
●薄力粉 135g
えのき 1/2袋
ピザ用チーズ 一握り＾＾；
鶏もも肉 1枚
玉ねぎ １/４個
黒糖 バターの２倍量(60g)
薄力粉 ８５グラム
オリーブオイル 大さじ2
あらびきウインナー(シャウエッセンがオススメ) 3本
シーチキン缶 1缶
砂糖 ８０ｇ
お豆腐　（絹） 一丁
大根 (大)１／４本
味付きから揚げ粉 適量
グラニュー糖 200ｇ
セロリ １本
塩 少々
卵黄 ２個分
梅昆布茶の素 小さじ３
バター 50ｇ
豚肉 １枚(ももスライス赤身を使用)
人参 １本
砂糖 ６０ｇ
マヨネーズ 大１．５
豆腐 １／２丁
にんにく １かけ
ピーマン 2個
トマト ２個
砂糖 １０ｇ
豚バラ肉 ２００ｇ
スキムミルク 10g
ウインナー １本
味噌 大さじ1～
しいたけ ２枚
水 150ｃｃ
★卵 １個
芽キャベツ ６個
だし昆布 ５ｃｍ
しょうゆ 適当
大葉 ２枚
エビ 5.6尾
ネギ 半分から一本
ポテトの粉 100ｇ
人参 ２本
バター 大さじ１
舞茸 150～200ｇ
大根 ３分の１本
生クリーム 200
Ａ酒 大１
あればきのこ類 食べるだけ
大葉 5枚くらい
卵 ２個
ベーキングパウダー 小さじ1　と　1／2
マカロニ（サラダ用だと早く茹って便利） 小さじ２
アメリカの巨大茄子 1 本　(計ったところ 680gでした)
ソースは味噌・ゴマ・マヨネーズ・砂糖（少々）で お好みで
チーズ 適量
じゃがいも 大２個
鮭フレーク 大２
白味噌（辛子酢味噌） ６０ｇ
aグラニュー糖 ３５ｇ
生クリーム 50ml
[下茹用] *****
簡単すし酢　（レシピID:939477 ） 大さじ3～5
ベビーホタテ １パック
砂糖 70ｇ
納豆 1パック
ご飯 １人分
玉ねぎ 中1／2個
昆布だしの素 １／２本
塩・こしょう 適量
焼きのり １/２くらい
酒 適量
豆腐 ５０ｇ
キュウリ 1本
豆腐 ８０ｇ
新玉ねぎ 1/4こ
しょうゆ 少々
人参 1本
豆腐 1/2丁
玉ねぎ ２分の１個
みょうが 適量
大根 1/4本
こんにゃく ２枚
砂糖 大さじ３（約３０ｇ）
玉ねぎ 一個
とろけるスライスチーズ ２枚
ﾍｰｾﾞﾙﾅｯﾂ 適量
フルーツトマト 2コ
BP 小さじ半分
ケチャップ 適量
お魚ソーセージ １本
納豆 2ﾊﾟｯｸ
　鶏ミンチ 200グラム
カニの身（鮭フレーク、シーチキンでも） 好きなだけ
はんぺん 1/2枚(60g)
片栗粉 ３５ｇ（大さじ３） （115kcal）
なめたけ 大さじ1強
オリーブ油 2/1カップ
長ネギ １本
トマト 1個
蕪 １/２個
コーンスターチ 10ｇ
なめたけ ２０～５０ｇ
キャベツ ２枚
みかん １個
塩ｺｼｮ- 少々
合いびき肉 １００ｇ
牛肉の細切れ 500ｇ
玉ねぎ １／２個
生姜 大きめ1片
竹輪 ２本
米 ３合
牛豚ひき肉 １５０ｇ
豆腐（木綿） １/２丁
マカロニ 100グラム
ホールトマト水煮 800g
にんじん 1/2本
豚バラ薄切り肉 １００グラム
しょうが １片
小麦粉 大1
●ニンニク(みじん切りor摩り下ろし) 中２かけ
ほうれん草 適量
腹から出した明太子 １腹分
ポン酢 大１
豆乳 お好み（200cc程）
キャベツの葉 1/2枚
白菜 ５～６枚
玉ねぎ 半分
じゃがいも ２個
レモン汁 小さじ１
お好みの野菜（サツマイモ意外においしいよ） 適量
ライ麦 20ｇ
きのこ(しいたけ、しめじ、えのき、マッシュルーム等) 200g
Ａ　薄力粉 60ｇ
卵 １個
●薄力粉 135g
砂糖 ３０ｇ
塩 少々
豚肉 150g
みりん 100cc
オリーブオイル 50ｃｃ
お好みのﾐｰﾄｿｰｽ 適量
ハム お餅の数だけ
カニカマ 5本
じゃがいも 大きめ4個
ウインナー ２本
アンチョビ 1～2枚
だしみつレシピID:1006994 大さじ２
卵 １個
にんじん 4cm位
ちくわ 4本
★人参 半分
マーガリン 70g
キムチ 70g
中華スープの素（練り系のもの） 大匙半分
じゃがいも １個
きゅうり １本
卵 １個
片栗粉 １５グラム
ベーコン ２枚
低脂肪牛乳 １００ｃｃ
生ひじき(乾燥でもOK.) 50g
グラニュー糖 小さじ1.5
キャベツ 1/4個
黒糖 １５ｇ
鶏ささみ 2本
パイナップル（缶詰） 1枚
　・醤油 適　（200cc）
砂糖 10g
ニンニク 1かけ
しょうゆ 大さじ2
豚肉 100g
ミルク 大さじ１
砂糖 小さじ1
生おから 100ｇ
酒 大さじ1～2
★砂糖 15g
ネギ １／２本
しお（自然塩） ４ｇ（６ｇ）
卵 １個
ベーコン ３枚
砂糖 大３
チキン 適量
スライスチーズ 少々
めんつゆ 小さじ１
塩、オリーブ油 各少々
ホットケーキ粉 ８０ｇ
酢 小さじ１/２
ネギ お好みの量
お酢 大さじ1/2
にんにく、生姜 各1片
薄力粉 ５０ｇ
納豆 2パック
玉ねぎ（すりおろし） 中１個
ほうれん草 １／２束
きゅうり 半分
薄力粉 ５０ｇ
キムチ 1枚に大さじ1程度
コーン カップ１
ブロッコリー １株
えのき茸 1/4袋
鶏肉 1/2枚
玉ねぎ 中１/２個
木綿豆腐 200g
いんげん ２０本
あたたかいご飯 １人分
えのき(しめじでもOK) 1袋
ホットケーキミックス １２５ｇ
薄力粉 ５０ｇ
長いも 200～300ｇ程度（小さめ一本ぐらい）
ご飯 （茶碗3杯位）
鮭のあら ３切れ
マーガリン ４０ｇ
味付き中華クラゲ 50g
玉ねぎ １個
☆ベーキングパウダー 小さじ１
スライスチーズ １枚
白ごま 大さじ１
大根 ５ｃｍ
高野豆腐 大さじ２
えのき 大１袋
玉ねぎ（大） １個
つまみ菜（又は豆苗や貝割れなど） 50g
バナナ １〜２本
板チョコ １枚
シーサーかまぼこ（沖縄産） １/２本
合い挽き肉 ２００g
●砂糖 大さじ２
じゃがいも 小４個
本だし 少し
ミックスベジタブル（冷凍） 大さじ２
たまご １個
干ししいたけ ２枚
ピーマン １個
水 ３６０～４００ｃｃ（お好みで）
オリーブオイル 100ml
ごま油 大さじ１
★砂糖 ８０ｇ
生芽ひじき（乾燥芽ひじきの場合は5ｇを水で戻したもの） 50ｇ
エビ 20尾
ジャガ芋 1こ
豚肉（醤油、酒で下味） 100g
ちりめんじゃこ 大さじ3
全卵 1個
牛脂（なければサラダ油） 適量
小麦粉 大3
ぶり ２００ｇ
玉子 １個
砂糖 ５０ｇ
水 1カップ
キュウリ １本
･人参 1/2本
サラダ菜 2～3枚
蜂蜜 ショウガと同量くらい
鶏肉 １枚(もも肉がおすすめ)
昆布 15cmくらい
だし汁 １．５カップ
☆レモン汁 大さじ1
豆腐（絹ごし） １丁
キンピラ 大さじ1位
にんにく 2〜3片
ねぎ 好きなだけ
タケノコの水煮 １/２個
白玉粉 70g
たまねぎ 1/2個
バター 50ｇ
ベーコン 2枚
水菜 適量
牛乳 300ｃｃ
豚肉 200g
ハムorベーコン 4枚
☆砂糖 大さじ１+1/2
金目鯛 ２～３切れ
小松菜 １束
ねぎ 一本または半分
マーガリン １００ｇ
きゅうり １本
ちりめんじゃこ 大さじ２くらい
豚ひき肉 100g
◎にんじん １/４本（千切り）
ココア ３０ｇ
生クリーム(45％) 200cc
卵 １個
えのき １/２パック位（お好み量）
グラニュ糖 50g
スライスベーコン ３枚
たけのこ（水煮） 半分
生ハム(食べやすいサイズに) 適量
砂糖 大さじ半分
ベーコン 4枚
じゃがいも ３個
人参 1本
じゃがいも 中４個
水煮大豆 150g
アーモンドパウダー 60g
粉末だし 少々
片栗粉 大さじ２
生クリーム 300cc
鶏もも肉 １枚
お好みのトマトソース １５０グラム
ロイヤルカリブ １袋（４～５本入り）
*粒ﾏｽﾀｰﾄﾞ 小２
だし昆布 1枚：5cmｶｯﾄ
卵 適量
★玉ねぎ １/２個
塩、こしょう、白ワイン（好みで） 少々
牛乳 ２０ｇ
〇粒マスタード 大０，５くらい
★出汁 ２００ｃｃ
お好みのシーフード 合計400g位
マーガリン ２０ｇ
玉ねぎ 1/4個
オリーブオイル 小さじ２
塩 3g
赤味噌 大匙１
小ネギ（緑の細いネギ） 小口切りにして軽く2握り程
■塩 大さじ0.5
ピーマン 1個
パスタ １５０グラム
スカンピ（手長えび） 2～3尾
きなこ 大さじ2
白菜 4分の1
しょうゆ お好みで。
山芋(長芋でも) 5センチくらい
根気 やや多め
大根 中1/2本
韓国のり 5枚くらい
水 ３カップ
合挽きミンチ 100g
卵 1個
酒 50cc
きゅうり １本
ベーコン １パック
砂糖 20g
バター 30g
胸肉 １／２枚
ドライイースト 15ｇ　【7.5ｇ】
ピーマン ３つ
パスタ麺 2束
ねぎ 1本
味噌 ぴんぽん玉２つくらい(野菜の量にもよる)
塩 適
板チョコレート １枚
★水 500ｃｃ
きな粉 20ｇ
和牛薄切り肉 300g
牛脂 １個（なければオリーブオイル少々）
●お豆腐 ２００ｇぐらい
山芋 3cmほど
水 大さじ５
豆乳 200ml
まいたけ 1P
ごぼう １／２本
ごぼう（酢水） １０ｃｍくらい
砂糖 45g
ごはん ２皿分
ベーキングパウダー 小さじ1/3　約2g
大根 ５㎝
豚肉（こま切れ） １００ｇ
セロリ １束
ウェイパー 小さじ１
木綿豆腐 1丁
餃子の皮 １０枚
舞茸 半パック
アボガド １個
砂糖 40g
ミートソース 適量
★砂糖 15ｇ
オリーブオイル 30 cc
えび（むきえび） ４～５本（５０グラム）
キリー (チーズ) 適宜
ベーコン ２枚
鯖缶詰(今回は味噌煮缶) １缶
生クリーム １００ｃｃ
お茶漬けのもと １パック
卵 2個
濃口しょうゆ 大さじ１
玉子焼き 適量
ネギ 1本（青い部分も）
塩 小さじ3/4
キャベツ 適量
☆卵 １個
ａ　だし ６００ｍｌ
にがり 小さじ1
玉ねぎ １個
ハーフベーコン ４～５枚
にんじん ４分の１本
えのき 1束
にんじん 1/2本
なすの味噌炒め 適量
大根 １０センチくらい
冷凍インゲン 5本ぐらい
チョコレート(板チョコがベスト) お好きなだけｗ
アンチョビ 小さじ1くらい
卵白 ４個分
たまねぎ ４分の１
とりそぼろ ４さじ
合挽きミンチ 300g
ピーマン ５個
酒 大さじ1
にんじん 1本
ニラ 一束
玉子焼き 適量
油 １００ｃｃ
塩鮭 ２～３切れ
しらす たっぷり
♡枝豆（冷凍） お好みで
水 480CC
みそ 小さじ2
ポン酢 大さじ　３~５
胡椒 少々
納豆 1パック
☆ケチャップ 大２
豚ひき肉 100g
玉ねぎ（中） 1/2個
豚(鶏)挽き肉 300g
ひき肉 ３０ｇ
なめこ １袋
牛肉(豚でも)薄切り・小間切れ 250g
白菜 （１／２ぐらい）
絹ごし豆腐 150ｇくらい
アーモンドプードル 150ｇ
青のり（生） 大さじ１
チャーハンの素 一袋
ニラ 1束
塩 適量
練乳 40g
玉ねぎ 好きなだけ
人参 １／３くらい
玉ねぎ 中１個
生クリーム 150cc
ウインナー 一袋
豚肉(ばら肉やロースなど) 300g
味付きのり 2枚
玉ねぎ １/２個
玉ねぎ 1個
生クリーム ５０cc
砂糖 35g
卵 １個
トマトの水煮 1缶(250g)
卵 3個
しらす 大3〜5
長ねぎの青い部分 1本ぶん
じゃこ 大さじ2-3
黒糖 200g
ライ麦粉 １５０ｇ
じゃがいも ２個
　・砂糖(グラニュー糖じゃなくていい） 大さじ2
きゅうり ２本
みりん 50cc
大根 １/２本
ライスパフ ５０g
卵 ３個
豚ひき肉 300g
★コチュジャン 小さじ１
りんごジュース ２５０ｃｃ
バター 100g
にら 半束
長ねぎ 1本
ブロッコリー 30ｇくらい
生姜 3０ｇ
砂糖 ７０ｇ
アーモンドプードル 50g
豆腐 １丁
釜揚げしらす たっぷり
スポンジケーキ １／２枚
じゃがいも 2個
塩 小さじ１.５
えのき 1袋
絹ごし豆腐 50g
ベーコン 3枚
めんつゆ（2倍濃縮） 大さじ２
純ココア 20ｇ
魚肉ソーセージ 1本
牛薄切り肉 10枚くらい
玉子 ３～４個
ベーコン 1パック(4枚位)
人参 2/3本
太いもやし 1/2パック
※　鰹だし 100ｃｃ
☆豆乳（なければ牛乳、生クリーム） 50cc
焼き海苔 少量
☆ショウガ汁 1片分
もやし 1/2袋
刺身（マグロや鯛などの白身なんでもOK） 200ｇ
鶏ハム（普通のハムでも） 好きなだけ（スライスハムなら８枚）
チョコレート 40g
コーヒーフレッシュ ２個
鶏ミンチ 80g
チョコレート ４０ｇ
砂糖(上白糖や三温糖) 200～300g(キウイの３割程度)
醤油 大さじ1
たまご 袋に書いてある分量
ガーリックチリオイル又はオリーブオイル 大さじ1
生クリーム ４０㌘
豚ロースとんかつ用 ２枚
卵 4
大根葉（乾燥） 適量
水菜 １株
すりおろししょうが（チューブで可） 小さじ2くらい
枝豆（冷凍） 適量
水菜 １袋
豆板醤 大２
実山椒 大さじ１
水煮たけのこ 100g
塩 少々
♦オリーブオイル 大さじ2
アボガドスライス ８枚
塩コショウ 少々(多めが美味)
♦しょうゆ 大さじ1と1/2
コンソメ １個
水菜 小さめのひと束
イカ 1/2杯・100g
にんにく 2かけ
牛乳 コーン缶と同量
玉ねぎ ２００ｇ
ベーキングパウダー 3g
ツナ缶 1つ
黒糖（白砂糖でもOK） ９０グラム
アボカド １こ
水菜 ５束
レトルトカレー（中辛） 1個
切り餅 ２個
にんにく １かけ
刻みネギ 適量
しめじ 1個
じゃが芋 中2個
豚バラ肉 ４～６枚　お好みで
酒 大さじ2
プレーンヨーグルト １カップ
長いも １０ｃｍ強
葱 太めの１本
にんにく １片
