■水 500ml
ケッチャップ 大３
酢又はカボス 適量
花鰹 一つまみ
しょうゆ 大さじ2
サラダ油・ごま油 適量
にんじん 1本
◎酒 50ｃｃ
マヨネーズ 大さじ２
★砂糖 大さじ2
酒 大さじ2
ごま油 小さじ１～大さじ１
マッシュしたかぼちゃ １５０グラム
塩・コショウ 少々
ごま（あれば） 適量
　　みょうが ２本
醤油 小匙１／２
ポン酢 少量
ごま油 大さじ２
生ハム おまかせ
味噌 適量
筍水煮 小一袋
◎鶏がらスープの素 大1
　　みりん 大さじ５
ココア 35グラム
Ｂ酢 大２
ﾚﾓﾝ汁 小さじ1／2
パスタ 適量
酒 ３００ｃｃ
 （５８ｇ）
　味噌 １５０ｇ
桜でんぶ 適量
サラダオイル ２０ｃｃ
お酒 適量
生姜(すりおろし) 適量
コンソメ  ひとつまみ
油 少々
醤油 小3
★酒 ５０ｃｃ
★こしょう 少々
●しょうゆ・みりん・かつお節粉 各大さじ１
水 １５０ｃｃ
お好みのｽﾊﾟｲｽ 適量
酒 大1
　片栗粉 大さじ1
塩、こしょう 各少々
★塩・胡椒 適量
牛乳 100ｃｃ
にんにくのみじん切り 大さじ２
醤油 小さじ1/2
塩コショウ 少々
油 少々
乾燥ハーブ（お好みのもの） 適宜
青み(アスパラ、いんげん等) 適量
■麺つゆ(3倍濃縮) 200ｃｃ(2倍濃縮を使う場合は400ｃｃ)
オリーブオイル 大さじ２
料理酒 小１
＊酒 大匙１
塩コショウ 適量
ぬるま湯 130ｇ
塩、こしょう 各少々
☆　生クリーム 200ｇ
チョコソース 適量
★ｽﾗｲｽﾁｰｽﾞ(ﾄﾛｹﾙ) 3枚
おろししょうが 小さじ１
パン粉 適量
みりん 大さじ１
からし チューブで4cm位
長葱 1/2本
塩 適量
葱 適量
油 適量
塩 少々
スキムミルク ８ｇ
★にんにくのみじん切り ひとかけ分
小麦粉 適量
ネギ(小口切り) 適量
パン粉 適量
ごま油 中さじ１
さつまいも １２０ｇ（１８０ｇ）
オリーブオイル ２－３Tbs
ブラックペッパー 少々
パスタの茹で汁 少々
※しょう油 小さじ1と1/2
●お好みで鷹の爪（種をぬいて細切り） １本
塩・胡椒 適宜
黒胡椒(お好みにより) 適量
塩 小1/3程度
☆ケチャップ 小さじ１
　　○万能ネギ（みじん切り） 大さじ２
●カレー粉 小さじ２
★ブイヨン ３つ
★しょうゆ 大さじ２
ゴマ油　　 大さじ１
★塩 少々
タカノツメ お好みで
酒 ５０ｃｃ
ベーキングパウダー 小さじ１
醤油 大1
塩コショウ 少々
ナンプラー 小さじ1
☆昆布茶 小さじ1/2～小さじ1
醤油 大さじ４
チョコレートチップ 20ｇ
酢 大１と１/２
･砂糖 小さじ1〜2
オリーブオイル 小さじ2程度
えび（鶏ささみなどでも） ４尾
　■卵 1個
醤油 大１，５くらい
デミソース（フレークや缶詰使用） ソースとして250ｃｃになる量
★醤油 大さじ1.5～2
醤油 小さじ1～
酒 大さじ２～３
マヨネーズ 大さじ４
鶏ガラスープの素 大さじ1
☆干し椎茸の戻し汁 ５０ｃｃ
グラニュー糖 ３５ｇ
レーズン 60g位
ごま 少々
昆布(１０ｃｍのもの) ２枚
◆わさび 適量(多めがおすすめ)
低脂肪乳 50ml
醤油 大さじ1杯
オリーブオイル 適量
砂糖 大さじ３
☆みりん 大さじ２
☆酒 大さじ1/2
ドレッシング お好み
塩コショウ 少々
塩 小1/2弱
塩 少々
レモン 適宜
ネギ（みじん切り） お好みで
●砂糖 １２ｇ
バター お好みの量
ドライイースト ３ｇ
★バター（玉ねぎ用） 10g
酢 大匙2
▲豆板醤 小さじ1～
オリーブオイル 大さじ2
★生姜 少々
豆腐 １丁
★こしょう 少々
炒りしろごま 適量
コンソメ １個
粉糖（仕上げ用）　　　　　　　　適宜 適宜
醤油 大２
溶き卵（牛乳でも可） 少量
★塩こしょう 少々
コンソメ粉 少量
トンカツソース 小匙１
純ココア 適量
くるみ 50ｇ
バター 10g
にんにく １片～２片
赤ワイン １／２カップ
豚肉 3～5枚
鮭（甘塩） ２切れ
油 適量
水 大１
酒（紹興酒） 大さじ２
スポンジ(レシピID:1016930を2枚にスライスしたもの) 1枚
酒 大さじ１・１/２
★みりん 大さじ1.5
●調理酒 小さじ１
塩 少々
★ベーキングパウダー 小さじ1
◎ラムレーズン 大さじ山盛り2
さとう 小１/２
●塩 一つまみ
片栗粉 小さじ１．５
ほうれん草 適宜
酒 １００ｃｃ
◎お醤油 ３〜４滴
味噌 大さじ４（お好みの濃さに）
バター １０ｇ
★板チョコ（ミルクチョコレート） 4かけら
★みりん 小さじ１
スモークサーモン 150g
♡なめたけ（市販の瓶） お好きなだけ
ちくわ 2本
胡椒 少々
★一味唐辛子 小1
ﾊﾟﾝ粉 適量
★醤油 大さじ5
片栗粉 （大さじ５ぐらい）
☆グラニュー糖 60ｇ
白ワイン 大さじ２
無塩バター 35g
サラダ油 大さじ１
水 300cc
ごま油 適量
レーズン ５０ｇ
　・ドライフィグのブランデー漬けした物 3個
★ねり梅（チューブ） 大さじ１
しょう油 大２
ネギみじん切り 大さじ3
卵 3個
春巻きの皮 １０枚
照り用卵黄 １個
チューブ生姜 小さじ１
水（ゼラチン用） 大さじ４
ベーコン 5枚
サラダ油 大さじ１
♢水 小さじ1
のり 適量
酒 大さじ1
キャベツ １/4個
ごま油 小さじ1/2
※　だしの素 小さじ１
しめじ（ほぐしておく） 1パック
★醤油 大さじ1
付け合せのわさび（チューブわさびでもOK） 3～5個
BP（ベーキングパウダー） 小2
☆薄口醤油 ：１(100cc)
卵 1個
蜂蜜 大さじ１／２
砂糖 適量
塩胡椒 ひとつまみ
しょうゆ 小さじ1
★五香粉 適宜（今回は１０振り）
砂糖、しょうゆ 各大さじ1
マヨネーズ＆ケチャップ 適宜
片栗粉 適量
小麦粉 二掴み
塩だれ(コツ) 大さじ2
トマトケチャップ 大さじ２
塩 小さじ１/２
黒コショウ 少々
塩 小１
水 100cc
●砂糖 大さじ2
塩 小さじ２分の１
きな粉 小匙１
★塩 小１
ハム ２枚
○コンソメキューブ 1個
◇水 50cc
とろけるチーズ 2枚
▲醤油 大さじ１と１/２
白ワイン 少々
お好みのフローズンフルーツ（ブルーベリー、チェリー等） 好きなだけ
煮干　（自由選択） １本
醤油 少々（お好みで）
★砂糖 ひとつまみ
ラム酒（お好みで） 小1/2
パルミジャーノチーズ 好きなだけ
豆板醤 お好みで・・
塩・ブラックペッパー 少々
塩 少々
＊白だし 大匙３
ごま油 大さじ１くらい
オリーブオイル 小さじ２
みりん お玉3分の2
生クリーム（安いもの） １パック
にんにく １かけ
白ごま 適量
水 １５０ｃｃ
キャベツ １玉
小麦粉 大さじ２
ゴマ油 大１
にんにく 1片
三つ葉 適当
豆乳(または牛乳) 70g
ねぎ 1本
塩・胡椒 少々
片栗粉 大さじ1
砂糖 大３
マヨネーズ 適量
アーモンド ５０ｇ
りんご 1個
黒こしょう 少々
たこ焼きソース 適量
生クリーム １００～１５０ｃｃ
★コンソメの素 小１　１/２
ホワイトチョコ（お好みで） 50g
酒 大さじ１
水 ５００ｍｌ
焼く前に塗る豆乳 少量
ラズベリー 適宜
酒 大匙１
ｸﾞﾗﾆｭｰ糖 50㌘
ひよこ豆 適宜
たまご 3個
めんつゆ（２倍濃縮） 大さじ１
かたくり粉 適当
ごはん 人数分
かつおぶし、ソース、マヨネーズなど お好みで
酒 大１
●片栗粉 小さじ１
ショートニング １５ｇ
ごま油 大さじ１
◆塩コショウ 少々
☆ケチャップ 小1/2くらい
マヨネーズ 小さじ１
醤油 少々
卵黄 1個
コチュジャン 小さじ１
卵 1個
★醤油 （50㏄）
スライスチーズ（好きなものでOK！） 2枚
砂糖 １２０ｇ(１００ｇ)
〇すりおろしにんにく 少々
刻みパセリ 適宜
エクストラバージンオリーブ油 4/3カップ
バニラオイル 少々
●厚削り鰹節 ３枚
にんにく（スライス） 少々
★コショウ 少々
砂糖 小さじ１
･塩コショウ 適宜
ケチャップ 好きなだけ
卵 1個
●ベーキングパウダー 小1/4
ベーキングパウダー 小さじ１
グラニュー糖 適量
☆ニンニク: すりおろし2片分
オリーブオイル 適量
溶き卵 ２個～３個
卵黄 １個
もみのり 適量
シュウマイの皮 ２５枚
ケチャップ 大さじ４
牛乳 大さじ2杯半
苺or好みのフルーツ 適宜
◆塩 少々
マヨネーズ 大３
ひき肉 ２００ｇ
★酒 大さじ2
８、水（冬はぬるま湯） ２５０g
◇おろししょうが １かけ分
（あれば飾りにグリーンピースや枝豆） 個数分
ベーキングパウダー 小さじ1/2（2g)
卵黄（塗る用） 少々
☆砂糖 大さじ２
★さとう 小さじ１弱
水 好みです。大体2リットルくらい
ショートニング（ラード） １０ｇ
玉葱 １／４個
◆薄力粉 ３０ｇ
塩こしょう 適宜
ホワンミー総合調味料（材料に和える分） 適量
しょうゆ 大３．５～４
塩、胡椒 適度
☆ネギの青いところ １本分（なくてもいい）
粉チーズ(あれば) 少々
しょうゆ 大２
三温糖 大さじ１
酢の物にして美味しいお野菜 １種　適宜
グラニュー糖 ８０ｇ（パルスイートは２０ｇ）
　◎塩コショウ 適量
カレー粉 大1
水 １，５カップ
ごま油 小１
＊酒 少々
玉ねぎ 40g
卵 2個
水 3カップくらい
オイスターソース 大さじ半分
バター(マーガリンでも可) 大さじ１程度(お好みで！)
醤油 大匙1
麺つゆ 大2
ブラウンシュガーor三温糖 20g
ねぎみじん切り 5センチ分
米粉　なければ小麦粉 少々
蒲焼きのタレ(添付のもの) 適量
☆酒 大匙2
☆お好みで塩やマヨネーズ 適量
しょう油 大さじ３
砂糖 ３０ｇ
バター 60g
一味とうがらし（お好みで） 少々
塩 適量
にんにく １片
白だし 小さじ１/２
○にんにく・しょうが汁 少量
砂糖 大さじ8
好きなパン 食パン２枚ほど
生クリーム（あれば） お好みで
カレー粉（炒め用） 大さじ２
★ｵｲｽﾀｰｿｰｽ 小さじ１と1/2
片栗粉 20ｇ
　☆鶏がらスープ 小1/2
黒オリーブ(なくてもOK) 5～7個
チリパウダー お好みで
ケチャップ 大さじ２
水 小さじ1
◎ごま油 大さじ３
塩（入れなくてもいいです） １ｇ
油 大さじ1
酒 ３０CC
◎天然塩 小さじ2/3
ゴマ油 大さじ２．５
☆醤油 1/4cup
　えりんぎ ２本
みそ 大さじ2
〇粉ゼラチン ７ｇ
レモンの皮（すりおろします） １/２個分
お米 2合
片栗粉 適量
☆カニかま １００ｇくらい
◎カレー粉 大さじ３
こしょう 少々
☆こしょう 少々
★砂糖 大さじ3
☆塩 小さじ１/２
マヨネーズ 大さじ２
塩、白ワイン、イタリアンパセリ、パルミジャーノ、香りのＥＸオリーヴオイル 適量
■砂糖 ひとつまみ
黒胡椒 適量
パスタ用の茹で塩 多めに
ごま油 大さじ２
サワークリーム 大さじ2
※醤油 大さじ4
★めんつゆ 小さじ1
塩 適量
レーズン お好みで
○だしの素 6ｇ
サラダ油 少々
ケチャップ 大さじ５くらい
ウインナｏｒベーコン ４～５本
7-11 じゃがいものポタージュ(3p入@98- 10p入@298-) 1p
★ごま油 小さじ２
白炒りごま 大さじ３
ほうれん草 適宜
（B）魚肉ソーセージ ２本
牛乳 大３
豆乳 220cc
塩 少々
ローリエ ２枚
コンソメ 少々
三温糖（卵黄用） 10g
＊しょうゆ 大１・１/２
豆板醤 小1
●人参 1本
☆すりごま 適量
ビスケット １８枚
帆立だし 大１
塩こしょう 少々
乾燥バジル お好みで
大根 １／４本
☆本だし 小さじ　１強
塩 適量
片栗粉 大さじ２～
ご飯 人数分
★水 100cc
ｸﾚｲｼﾞｰｿﾙﾄ(塩胡椒・荒びき胡椒など） 適宜
熱湯 適量
ケチャップ 少々
　　・砂糖 大さじ１．５
◆コンソメ 3個
塩・味の素 少々
②ウィンナー ３本
　　　　塩（玉ねぎ用） 小さじ1／2
塩こしょう 適量
★豆豉(みじん切り) 小1
☆醤油 小１
コンソメの素 小さじ1
濃口しょうゆ    大匙３
中華だし 少々
オリーブオイル 少々
みりん ５０ｃｃ
もやし 1/2袋
☆くるみ 20g
バナナ １本
オリーブオイル    大匙１
　　塩こしょう 適量
★酒 大さじ1
●コールスローサラダ（レシピID：1005332 ） 適量
水 適宜
片栗粉と水（とろみ用） １：２の割合で
塩・こしょう 少々
ベーキングパウダー 小さじ１
マヨネーズ 適量
生クリーム 100g
塩・胡椒 適宜
●水 大さじ3
ごま油 適量
チューブのしょうが １センチ分くらい
水 1000ml
もち 2個
オリーブオイル 適量
トマト缶 １缶
醤油 大さじ１／２
マヨネーズ お好みで
醤油 大匙2
塩 ふたつまみ
サラダ油 少々
卵 1個
＊ない場合は コンソメ1個＋水75ml
◆薄力粉 100ｇ　
えのき 1袋
胡椒 少々
すりごま 大さじ3
ケトリング用　湯 ２L
マスタード（無くても可） 小さじ1
ココアパウダー 適量
●塩 小１/２～
カルダモン（パウダー） １０粒分
生ｸﾘｰﾑ 30g
マギーブイヨン １粒(約５ｇ)
■牛乳 200CC
☆砂糖 ３０ｇ
白ごま 適宜
ラム酒orコーヒーリキュール 大さじ5
バニラエッセンス（あれば） 4滴
パルメザンチーズ（粉） 大さじ１または２（お好みで）
ローリエ 1枚
●アーモンドプードル 小さじ1/2
パン粉 １カップ～
卵 1個
イースト 小さじ1
きぬさや 飾り程度
粗びき胡椒 適量
　白だし（醤油） 小さじ１～
Ａ：砂糖 大さじ２強（大さじ３）
えのき １袋
●オイスターソース（または醤油） 大さじ１／２（醤油なら大１）
きなこ ２０ｇ
砂糖 ６０ｇ
きび砂糖 10g
お好み焼きソース 適量
顆粒だし 小さじ1
★さとう 大さじ１
水 コップ１杯
・こしょう 適量（おこのみで加減）
醤油 小さじ1
マーガリン（パンに塗る用） 適量
レモン 1/2
しょうゆ 大さじ1.5
●塩 ひとつまみ（１ｇ位）
水溶き片栗粉 適量
無調整豆乳 50cc
ごま 適量
チョコレート（コーテイング用） 適量
マヨネーズ 大さじ1
ソース 大さじ　２
マーガリンｏｒバター 適量
☆ゴマ油 小さじ１/２
★みりん 大さじ１
水 カップ1
砂糖 小さじ１
薄口しょうゆ 大１
サラダ油（ｽﾊﾟｹﾞﾃｨからめ用） 少々
◎カレー粉 大１～(お好みで)
バター 大さじ2
塩胡椒 少々
塩 少々
☆ドライバジル 少々
卵 1個
じゃこ 大さじ４
無塩バター ４５ｇ
☆オリーブ油 大さじ２
醤油 大1.5
　　　　　洋人参 4センチほど
ピーナッツバター 大さじ3
