■酒 40ml
ﾌﾚｯｼｭﾊﾞｼﾞﾙ 適量
だし 少々
マヨネーズ 大さじ１
i.   醤油:みりん 1:1（大さじ1ずつ）
サラダ油 大さじ1
＊塩こしょう 少々
ごま油 小さじ１/２
ドライパセリ 少々
醤油 大さじ1
塩 ほんのひとつまみ
裂きイカ ３０ｇ
　　　お酒 少々
ブラックペッパー 少々
酒 １／２カップ
とんかつソース 10g
一味 少々
★みりん 大さじ２
白ワイン（あれば、なくても可） 小さじ1
●ラー油 ２・３滴
粉チーズ（または細切りチーズ） 適量
コンソメ顆粒(固形) 小さじ２(１個)
コショウ 少々
塩・こしょう 少々
★卵白L ３個
胡椒 適量
「２」牛乳 ５０cc
《＋味わい　顆粒コンソメ》 ひとつまみ分
●コンソメ ２個
◎砂糖 小さじ２
塩 適宜
砂糖または蜂蜜 大匙１
☆水 1カップ
かぼちゃ（ゆでて小さく切る） 200g
あればローリエ ２枚
トッピング：ゆでたほうれん草 １把
仕込み水（38℃くらい） 30～40mi
ケチャップ 大さじ1
レモンの皮 2g
　いり卵 好きなだけ
レモン汁 小2
黒すりごま 大さじ2
☆はちみつ 大１
ホイップクリーム（植物性４５％） １００㏄
バター ５５ｇ(７４ｇ)　　　 【１１０ｇ】
ツナ 1缶
砂糖 大さじ１
☆みりん 小さじ1
白ネギ 適量
水 150ｇ　　　　　　　　50
ほんだし ちょっと多めの小さじ１
オリーブオイル 大さじ１
干しシイタケ千切り 千切り
卵 中４個
砂糖 少々
○大根 ８cm
豆乳 ５０～１００ｃｃ
卵白 たまご１コの　１/２ぶん
ショートニング 30ｇ　　　　　　　　　　　15
お好みで一味唐辛子 10振り
　　　にんにく、しょうが １かけ
ポン酢 お好み
生クリーム 3/1カップ
粉末カレールゥ(カレー粉じゃないです。) 大4～5　(固形なら3～4個)
酒 大1
だし(ちゃんととってもいいし、顆粒でもOK) 適宜
大葉 2枚
餃子のかわ ２０枚
豚細切れ １００g
片栗粉 少々
水 ２００cc
オリーブオイル 大3
ベーキングパウダー 小さじ１
醤油 小匙１（お好みで）
八角 1個
豆板醤 大さじ１弱
だししょうゆ フライパン一回しぐらい
揚げるための油 適宜
生クリーム 100cc
マヨネーズ 適量
◎野菜パウダー◎きなこ　などなど・・・ 適量
水 ７０ｃｃ
ごま油 ひとまわし
牛乳 50cc
こしょう 少々
●トマトケチャップ 小1.5
こしょう 少々
☆ソーセージ☆ １袋
◆片栗粉 大匙１
※酒 50ｃｃ
ラム酒漬けﾄﾞﾗｲﾌﾙｰﾂ ５０ｇ
チーズ お好みで
みりん 大半分
◇牛乳 200ｃｃ
ゴマ油  　 小さじ1
バイマックルー ３枚
塩・こしょう 各少々
こしょう 少々
☆塩 少々（２つまみ半くらい）
砂糖 小さじ１
　豆板醤 大さじ1/2
醤油 大匙2
ピザ用チーズ 適量
レモン汁 大さじ3
片栗粉 適宜
玉ねぎ １／４ケ
オイスターソース 大匙2
すり胡麻 適量
水 300CC
いちご １パック
醤油 大さじ２
（仕上げ用ごま油） 小さじ1
乾燥パセリ（仕上げ用） 適宜
（分量にこだわりはありません！ １：１で混ぜてください）
塩　胡椒 少々
水 5〜6ｶｯﾌﾟ
めんつゆ 大さじ１/２
塩 少々
◎こしょう 少々
バター 30ｇ
★醤油 小２～３．５
ショートパスタ 150グラム
*塩 小さじ5分の1
クルミ 30g
♪お醤油 少々
お酒 1/2カップ
○ドライクランベリー ４０ｇ～７０ｇ
砂糖 小さじ１
ピザソース すきなだけ
白ゴマ 大１/２～１
☆砂糖 大２
焼き海苔 ４～５枚
マシュマロ 90g
粉ゼラチン ５ｇ
白ゴマ 適量
砂糖 大さじ2
みりん　 大さじ1
上白糖 １５０ｇ
水 大さじ２～２と1/2
鷹の爪、七味 適宜
無塩バター（湯煎で溶かし人肌くらいに保温しておく） 40g
塩 少々
しおこしょう 少々
レモン汁 少々
めんつゆ 大さじ1
コンソメ １個
●ブラックペッパー 適量
黒胡椒 小さじ１／３
イタリアンパセリ お好みで
白ごま お好みで
つみれ １０個程度
だしの素 小さじ１
ブラックペッパー 少々
♡酒 大さじ２杯
│砂糖 小さじ１
ローズマリー 少々
コショウ 少々
○酒 大さじ１
●油揚げ 適量
ドライパセリ 適宜
■ 揚げ油 適量
おろしのタレ(市販) 適量
◎醤油 小さじ１／２
ピンクペッパー 適宜
オリーブオイル 大さじ2
酒 大さじ1
塩 少々
バジルまたはパセリ 適量
生イカ 1杯
醤油 大さじ1
◎黒こしょう 少々
塩・コショウ 少々
パセリ 少々
ケチャップ 適量
ローリエ ２枚
カラフルサラダ レシピID：1025864
水 ６カップ
アーモンドエッセンス 小匙１
みりん 大さじ1
＊塩コショウ 適量
水 165ｇ
マヨネーズ 小さじ１
ジャガイモ ２分の１個（普通のサイズ）
節分用豆（炒り大豆） ４０ｇ
砂糖（または蜂蜜、ゆでるお湯に入れる） 大匙１
塩、コショー 適宜
生姜 3g
＊めんつゆ（濃縮） 大さじ３
ガラムマサラ 小さじ1/2
○米酢 大さじ２
にんにくパウダー 適宜
レモン汁（ポッカレモンでもOK） 大さじ2
片栗粉 大さじ3
粉砂糖 適量
　◎片栗粉 大さじ3ほど
炒りゴマ 適量
バニラエッセンス 適量
生クリーム １００ｃｃ位
ごま油 少々
塩・黒胡椒 適当少々
オリーブオイル 小さじ1〜２
酒  大２
☆ベーキングパウダー 小1/2
　醤油 小さじ1.5
きな粉 適宜
ピーカンナッツ ６０ｇ
砂糖と０カロリーのラカント あわせて50g
干しシイタケ 3~4枚
ねぎ 少々
黒砂糖 大さじ１杯
●ケトリング用のお湯 １ℓ
ブルーベリージャム 適量
ドライイースト 4.8g
★みりん 小さじ１杯
　砂糖 大さじ1.5
水 適量
しょう油 大さじ１ほど
胡椒 少々
ニンジン １/３本
ネギの小口切り お好みで
バニラオイル 少々(2,3滴)
サニーレタス 適量
◎アンチョビソース 10ml
ショートニング ２０ｇ
とろけるチーズ（スライス） 1枚分
★粒ジャム（メープル） ４０ｇ
好みで）きのこ お好みの量
水溶き片栗粉 大さじ２
醤油 小さじ１
だし汁 大さじ4
ラー油 お好みで
☆こしょう 少々
あればクレイジーソルト 適量
油 大さじ３杯
☆パン粉 大さじ４（粘りをみて）
コーンスターチ 小さじ2
マヨネーズ お好み
塩 ～
●砂糖 大さじ１と１／２
塩・胡椒 少々
＊小ねぎのみじん切り ２束分
 塩・こしょう 強め
炒りごま、糸とうがらし 適宜
醤油 たらっと１回し
マヨネーズ 大さじ2
◎オリーブ油 大さじ1と2/1
★中濃ソース 小さじ1〜1/2
食紅 少し
○ケチャップ 大さじ３
玉ねぎ １個
ニラ ２分の１束
●みりん 大さじ１
Aアーモンド粉 30ｇ
コンソメ 1/2～1個
ケトリング用　砂糖 大さじ２
●酢 大さじ２
・水 ５０cc
<ソース用>　バター 30g＋器に塗る為の5g
のり 適量
Aしょうゆ 大3
★酢 ２００ｃｃ
油揚げ ５枚
●だし汁 １５０ｃｃ
わさび 適宜
塩 適量
こしょう 適量
水 50cc
溶けるチーズ ２０ｇ
塩こしょう 適宜
★片栗粉 大さじ１
白菜 外側の大きめ３枚
油 適宜
片栗粉 大さじ２と小さじ１
焼き板海苔 １枚
顆粒だしの素 少々
しょうが 適宜
いりごま 小さじ１／２
醤油 小さじ１
ごま油 小さじ1
○カレー粉 小さじ１
ブルーベリーまたはラズベリーまたはナッツ 適宜
☆塩 小さじ１弱
みりん １００ｃｃ
ドライイースト 小さじ1
サラダ油 炒め用小さじ１ぐらい
醤油 少々
★酒かす 140g
９、レモン汁（わたしはﾎﾟｯｶﾚﾓﾝ）なくてもOK 小さじ１くらい
バジル 小１
かぼちゃ皮なし（パンプキンケーキ用） 200ｇ
バター･サラダ油 適量
ドライパセリ 適量
ウエイパー（中華の素） 小さじ1
◎しょうゆ 大2
ごまめ 20ｇ
カレールー １箱（125g）
ねぎ 1/3本
コンソメ １個
☆コンソメスープの素（顆粒） 大2
みりん 大さじ３
砂糖 大さじ２
うすあげ（なくても可） １/４枚（６ｇ）
粗引きコショウ 適当
●塩 小さじ1/2
●片栗粉 小さじ１/４
◆なたね油 25g～50g
醤油 大3と1/2
★しょうゆ 大さじ4
塩コショウ 適量
シナモンパウダー 0.5g
みかん 1ケ
★豆乳（今回は調整） 200cc
☆酒 大匙１
紅麹パウダー 少々
★塩　こしょう 少々
オリーブオイル 適量
☆塩 小匙１
ほうれん草 １／４束
◇酒 小さじ1
パン粉 少々
　しょうゆ 小1/4
かにかま 二本
卵 １個
中華あじ 小さじ１
ラー油 適宜
m&m`s 140g
ペパーミント・バジル 各５枚くらい
ネギ 1本
プチトマト（あれば飾りに） １パック
　オイスターソース 大2
◎塩 2つまみ
生ラーメン ２玉
バンホーテン　ピュア ココア 7グラム
お好みでシナモンパウダー 適量
塩・こしょう 適量
水 1200cc
○にんにくパウダー 適量
☆しょうゆ 大さじ３
鰹出汁　（お湯＋顆粒出しでも） 800cc
サラダ油 大さじ１
ベビーチーズ ６０～８０ｇ
★塩 小さじ1
酒① 小さじ１
塩・こしょう 少々
焼く時のサラダオイル 大さじ３くらい
にんにく １片
牛乳 180ｍｌ
水菜 少々
醤油 大さじ１
醤油 大さじ1
味噌・醤油など お好みで
おかか ３ｇ
酒粕 1パック　３００ｇ
薄力粉 120㌘
刻んだ梅ぼし 大１
きゅうり（千切り） １本
あればナツメグ 少々
ココアパウダー 適宜
レモンオイル 少々
A. 砂糖 各小1/2
●ﾚﾓﾝ汁 小さじ1/2
水 小さじ２
卵（溶いておきます） Ｍ卵半分
けしごま 適量　
☆お酒 大さじ１
コーヒー豆乳 ２００ｇ
◆生姜(すりおろし) １片分
塩(クレイジーソルトが良い) 適量
きゅうり １/３本
コンソメ 1個～
ゴマ油 大さじ１
●オイスターソース 大さじ1/2
３倍濃縮めんつゆ 100ｃｃ
トッピング（白胡麻） 適量
◆みりん 大匙３
梅干し（大粒甘め） 2個
セロリ 1本
卵 １個
塩胡椒 少々
(ｿｰｽ用)ｲﾀﾘｱﾝﾊﾟｾﾘ お好みで
☆塩、コショウ 適宜
白ワイン １/４カップ
サラダオイル 適量
胡麻 少量
＊みりん 大さじ1
ベーコン 2枚
昆布茶 小さじ１／２
寿司酢　 適量
白ごま 適量
ゆで卵 １～２個
●みりん 大さじ１強
にんにく 少量
★こしょう 小さじ1/4
☆はちみつ 大２
バニラエッセンス 少々（あれば）
●砂糖 大さじ1＋1/2
セロリ　　みじん切り 1/3本
ブールマニエ 大さじ１
オリーブオイル 適量
チョコレート（刻む） ２５ｇ
○　カゴメ野菜ジュース ５００ｃｃくらい
★するめ（細切り） 3cm分
レモン汁 5ml
豆乳 ２００ｃｃ
グリーンピース（冷凍） 山盛り大さじ５～６
生姜 小さじ半分（これもお好みで）
★酒 大さじ1
塩コショウ 適量
昆布だしの素 小さじ1 弱
みりん 大さじ１
●生パセリ(みじん切り) 大さじ2
牛乳 ５０ｃｃ
★砂糖 １００g
☆白ワイン(クッキングワイン) 大さじ1
水 1カップ弱
○顆粒ダシの素 小さじ１
水 400ｃｃ
ブラックペッパー 少々
醤油 小匙1～2
胡椒 少々
だし汁（鰹だし小さじ1を水で溶いたものでも） １Ｃ
☆砂糖 小さじ1
卵 1個
カレー粉 大匙2
サラダ油 少々
オリーブオイル 大さじ１
☆固形ブイヨン 1/2個
ごま油 大２
◎塩＆こしょう 少々
中身のあん お好きなもの適量
■砂糖 大さじ2
顆粒コンソメ 小さじ1
☆ウスターソース 1回し
ニンジン 少々
めんつゆ    蓮根に絡む位
ラム酒 お好みで
みりん 大１
◎ラム酒 小さじ２
生クリーム 30cc
bゼラチン 5g
♪砂糖 小さじ１
だし 大1
＊生クリーム 大さじ１
具　豚肉かたまり　どの部位でもお好みで 400グラム
砂糖 小さじ1
めんつゆ 少量
小麦粉 適量
ごま油 大さじ１．５
水 400cc
コチュジャン 小さじ１
玉ねぎ・みじん切り 1個
ゴマ油 少々
マーガリン 10ｇ
・自然塩 小1/4
ドライイースト 小スプーン１
白ワイン ５０ｃｃ
☆みりん 大さじ２
☆水 ２００cc
チョコ ６０ｇ
卵 約６０ｇ（1個分）
しょうが ２カケ
□高野豆腐 小さめのを５個
レーズン 40g（お好みで）
りんご 小1個
油 大さじ２
輪切り唐辛子 少々
薄力粉 大さじ４
　ａ　片栗粉 小さじ１
白味噌 30ｇ
オイスターソース 小さじ1
牛乳 60cc
ごま油 少々
☆ショウガ（すりおろし） 大さじ１
☆熱湯 大さじ1
★ダシ醤油 大さじ２〜３
水 80CC
塩 小さじ１
レモン汁 大さじ1
青唐辛子 1個
水 適量
マスタード 〃
お好みソース 大２
○しお・ホワイトペッパー 少々
醤油 小さじ1
粗挽き黒こしょう 少々
カットトマト缶 １缶
塩・胡椒 適量
塩 少々
★しょうゆ 適量
打ち粉（薄力粉） 少々
中華スープ 400ｃｃ
醤油 小さじ１
イチゴ 人数分
塩、こしょう、オリーブオイル 適量
カレールー １／２箱
無添加食紅赤・ピンク生地 耳かき１杯
□塩 大さじ１
●砂糖 大匙３
塩 適量
薄力粉 大さじ4
○こしょう 少々
★　ウェイパースープ（なければ鶏がらスープ） 1カップ
いくら ８０グラム
バニラエッセンス 2.3滴
(飾り用)ミント  適宜
ごま油 大さじ1
卵 1個
◎蜂蜜 大さじ1
胡椒 少々
かんぴょう煮 ８本位
卵白 3個分
ヨーグルト 小さじ１
揚げ油 適宜
●みりん 大3
こぶ茶 大１
しょうゆ 大さじ1
鷹の爪 適量
麩（ふ） 4個
だし １００ｃｃ
●卵 ３０ｃｃ
・えのき ４分の1袋
水溶き片栗粉 適量
砂糖 大さじ2
■オーブンOKの鍋orボウルorおかきの缶 内径20×H9くらいのもの
バター １０ｇ
砂糖 大さじ１～２
かんぴょう １０ｇ
レーズン 80ｇ
カゴメ基本のトマトソース缶 １缶
△コンソメスープの素 1個
☆酒 1/2カップ
ほんだし 適量
水 小さじ１
グラニュー糖 39ｇ
トマト １/２個
ごま油 適量
卵 ３個
サラダ油 大さじ１
☆めんつゆ（３倍濃縮） ４０cc
片栗粉 大さじ2杯
バター 5g
こしょう 少々
レモン汁 小さじ1
みそ 大1
パン粉 適量
ブイヨン（固形） １個
小麦粉 適量
砂糖 小さじ１
