うどん(ゆで) 2玉
リンゴ １～２個(お好みで)
○パン粉 適量
卵 1個
にんにく 1片
醤油 大1
＊水 100cc
うまみ調味料、こしょう、ゴマ油 各少々
チャービル（なくてもいい） 適量
塩 ３ｇ
黒胡椒 適量
ｵﾚｵ（ｸﾘｰﾑを取った状態で） 18枚（9枚×2ﾊﾟｯｸ）
砂糖 大１．５
バター 少々
◎生姜（すりおろし） １カケ
人参 1／3本
砂糖 10g（お好みで加減してください）
ニンニク、生姜 各1片
ニンジン(イチョウ切り) 1/2個
イースト 小さじ１
韓国海苔 適量
あれば三つ葉 少々
青ネギ、または白ネギ（粗みじん切り） 1/3本分
ごま油 大さじ１
☆小麦粉 大さじ1
カレールー ２片
こんにゃく 1/2枚
片栗粉 大さじ１
粗挽き胡椒 少々
●酒 大１
サラダ油 大さじ1
サラダ油 大さじ２
味噌 適量
オリーブオイル 少々大め（なければサラダ油でも可）
酒 大さじ１
■砂糖 大さじ3(35g)
ブランデー 小さじ２
蜂蜜 小さじ１と1/2
☆オリーブオイル 大さじ1と1/2
卵 ２個
カシューナッツの粗みじん(なくても可) 少々
◆薄力粉 １２０g
白ネギ 適量
味噌 大さじ３
●水 ４００ｃｃ
しめじ 1パック
もち米 0.5合
酢 15ｃｃ
★ベリー系ジャム 大さじ２
卵 １個
だし ３Ｃ
にんにく 1かけ
☆砂糖 小１
Aスキムミルク 20ｇ
□砂糖 大さじ１
●醤油 大匙2
にんにく（みじん切り） 少量
バジル 大さじ1
酒 小さじ1
水 １００ｃｃ
七味唐辛子（無くてもOK） 適量
●さとう 大さじ2
酒 ５０ｃｃ
ブラックペッパー 適量
玉ねぎ 小1個
玉ねぎ 1/2こ
水 180ｍｌ
キクラゲ １
　おろしにんにく ひとかけ
・・・・・仕上げ用・・・・・ ・・・・・・・・・・・・
海苔 適宜
小麦粉 大匙2～3程
塩 少々
☆麺つゆ 大さじ1～2
冷水 80ml
デコペン ピンク１本
海苔 パーツ分
水 いつもの3合より少し少なめ
かぼちゃ 100グラム
だしのもと  適量
にんにく 1/2片
しょうが（ﾁｭｰﾌﾞでも可） お好み
☆醤油 大１
7-11　紅しょうが　@98- 適量
オリーブオイル 適宜
セロリ 1/2本
しょうゆ 大さじ１
塩、コショウ 少々
　・醤油 大さじ１
バター（マーガリン） 大さじ1
砂糖 30g
●塩 適宜
柚子胡椒 鶏の表面にぬる程度
卵 １個
ブラックチョコレート 板チョコ1枚（約60g）
水 500ml
砂糖 お好みで
オリーブオイル 大1
顆粒コンソメ 小さじ２分の１
★砂糖 小さじ１
☆オイスターソース 大さじ1
だしの素 大さじ1/2
醤油 小1/2
小麦粉 小さじ１
塩こしょう 小さじ１弱
ドライイースト 3ｇ
ローリエ ２，３枚
★だしの素 小さじ２
パティ 4枚
卵 2コ
砂糖 小さじ１
塩 少々
シナモン 適宜
牛乳 100cc
☆粉チーズ 大１〜２
◎マヨネーズ 小さじ１強
小麦粉 適量
小葱 少々
ピーマン １個
お湯（熱湯） 600㏄
ラー油 お好み
生姜のすりおろし 小さじ１
塩 適量
◎鶏ガラスープの素（顆粒） 大１
レモン汁（アボカド防変色用） 小さじ1
●わさび 適量
生姜（すりおろし） 小２
練乳 適量
牛乳 ２００ｃｃ
●塩・こしょう 少々
カルーア 35g
オイスターソース 大さじ１
卵 ２個
Ａ　酒 大３
塩コショウ 適量
にんにく 7～10g
ベーキングパウダー 小1
★塩 ひとつまみ〜
マヨネーズ 大さじ1～2（お好みで）
とうもろこし 適量
バター or マーガリン or サラダ油 ３０ｇ
グリエールチーズ（なければピザ用チーズ） 適量
★醤油 小さじ１
揚げ油 適宜
塩こしょう、パン粉 各適量
豆板醤 小さじ２
完熟のバナナ １本
●生姜汁 大さじ１杯
ミニ春巻きの皮 10枚
舞茸 半パック
黒胡椒 少々
味噌 大さじ5
玉子 1個
※ごま油 小さじ1
薄力粉 大４
かつお節 少々
塩 ひとつまみ
★塩 小さじ１／２
※しょうゆ 小さじ1
薄力粉 30グラム
＊酒 大さじ１
酒 少々
☆片栗粉 中さじ1
バナナ 1本
煮干し ３本
スライスガーリック 2へん
水 １カップ
卵 1個
いちご ７個（サイズに応じて調整）
★醤油（低塩） 小さじ２
酢 大さじ1
グラニュー糖 50g
豚小間切れ肉 100g
牛乳（常温にして） 50cc
レモン汁 大さじ1/2
ラム酒 小さじ２
牛乳 おおさじ１
○豆乳 ６０ｇ
牛乳 50ml
卵 2個
無塩バター ２０ｇ
塩胡椒 適量
砂糖 小さじ１
白ねぎ 20センチ
ドライパセリ 少々
生クリーム ５０g
牛乳 75cc
油 大さじ1
○酒 大１
★マヨネーズ 大１
鶏ガラスープ(ID:1024547) 750cc
★醤油 適量
ココアパウダーまたは粉糖 適量
一味 少々
オイスターソース 大さじ１弱かな
黒豆煮 ５０g
クミン 適量
しょうゆ 大さじ3
万能ねぎ 1～2本
干しエビ 大１
★みりん 大さじ　１
しらす干し １００ｇ
ドライイースト 小さじ１
卵＋牛乳 卵１個＋牛乳で１９０ｃｃ
いちごジャム ７０ｇ
バルサミコ酢 大１
＊からし チューブ１㎝位
ゼラチン 2枚　※粉であれば10g
★砂糖 小さじ　１
しょうゆ 大さじ３～
アボカド １個
オリーブオイル 大さじ2
トリュフオイル 大さじ２
柚子胡椒ふりかけ（市販のもの） 適量
白ワイン 1/2カップ
◆醤油 小1
＊醤油 小さじ２
油 適量
ベーコン １枚
バター 適量
豚の茹で汁 1カップ
八丁味噌(赤味噌) 200g
料理酒 おたま１杯
酢 大さじ1強
★味の素 小さじ１／２
小麦粉・片栗粉 各大さじ１
ブラックペッパー 少々
とろけるチーズ 適量
○牛乳 大さじ２
片栗粉 適量
★焼き肉のﾀﾚ 小さじ2
ごま 小さじ１
★塩コショウ 少々
水飴 ８ｇ
とろけるチーズ 適量
塩・こしょう 少々
白だし 大匙3
オリーブオイル 大さじ1
酒 大さじ1
ベーキングパウダー ５ｇ
こしょう 適量
ごま油 大さじ2
塩コショウ 適量
胡椒 適量
しょうゆ 大さじ1
塩 少々
●生姜汁 小さじ1/2
オリーブオイル 適宜
バニラエッセンス 少々
●ケチャップ 大さじ１
砂糖 大さじ２　（２６g）
★薄力粉 ４０ｇ
オリーブオイル 大さじ1弱
塩 小さじ1/2
黒胡椒 好みで少々
豆乳（または水） １００～１４０ｍｌ
揚げ油 適量
いりごま 大さじ１
塩 小匙１/２
◇好みのナッツ ４０ｇくらい
★梅こぶ茶 付いているさじに1杯
塩 5g
粗挽きこしょう 適量
ミニトマト 2，3個
餅 ２個（１個を１２等分に切る）
ベリー(苺,ﾌﾞﾙｰﾍﾞﾘｰ,ﾌﾞﾗｯｸﾍﾞﾘｰ,ｸﾗﾝﾍﾞﾘｰ等) 適当
マグロの刺身 適量
トウガラシ 1本
□たまご 1個
レモン汁、塩、こしょう 各少々（お好みで）
豚肉 １００グラム（好みの量で）
水溶き片栗粉 適量
※パルメザンチーズ お好みで
バター ２０g
水 　４５ｇ
チューブ柚子こしょう ３㎝ぐらい
★　みりん 大さじ１
パルメザンチーズ 適量
味噌 １０ｇ
◆しょうゆ 大さじ2.5
※魚肉ソーセージ 1本
鶏もも肉 300g
一味・山椒水煮（または佃煮）刻み 各小さじ１
酒 大さじ１
オリーブオイル 大さじ２
※塩 ひとつまみ
ごま油 小さじ１
お酒 大さじ1杯
☆塩•こしょう 少々
片栗粉（材料外） 餅とり粉として
▲山椒 少々
☆水 400~450cc
薄力粉 １７０グラム
酒 大さじ２
☆砂糖 小さじ1
キザミのり 適量
A　エリンギ 大　1本
絹さや（またはインゲン） 一掴み
片栗粉 適宜
青海苔orパセリ あれば少量
ﾍﾞｰｷﾝｸﾞﾊﾟｳﾀﾞｰ 小さじ1/2
ネギ 少々
ポン酢 適量
f.   インゲン 4本
その他お好みの調味料 適量
卵 ２個
すり生姜・すり大蒜 各大匙１
しょうゆ 100cc
薄力粉 １５０ｇ
ｸﾞﾘｰﾝｵﾘｰﾌﾞ(種無し) 8粒
卵　M 5個
サラダ油 大さじ１
醬油 大匙1
塩 お好みで
はちみつ 大さじ1
（好みで）塗りたまご、粉糖など 適宜
●しょうゆ 大さじ１
☆片栗粉 １／４カップ
f.   万能ﾈｷﾞ 適量
カットトマト おたま２杯
卵黄 １こ
＊薄口醤油 大さじ4
＊柚子こしょう 小さじ１
B：ベーキングパウダー 小さじ１
しょうが 一かけら
＊鰹節、天かす 適量
めんつゆ 大さじ２～３
▲グレープシードオイル(オリーブオイルでも可) 大さじ３
ﾊﾟﾙﾒｻﾞﾝﾁｰｽﾞ 大さじ2
塩・こしょう 少々
ブラックペッパー 適量
冷ご飯 一膳
塩 ４ｇ
ごま油 大さじ1
くるみ（軽くローストして砕く） 20g
☆昆布 ５ｃｍくらい
醤油 大２
★酒 小さじ１
七味唐辛子 適量
青ネギ ２本くらい
白ゴマ 大匙1
だしの素 少々
めんつゆ、和風だし 適量
白ごま 少々
トマト缶（トマトジュースでもOK） 20ｃｃ
豆腐 １パック（少量で１５０ｇぐらい？）
オリーブオイル 適宜
ポン酢 小さじ１
レモン汁 少量
ポン酢 適
カラシ 少々
アーモンドダイズ 適量
マヨネーズ 適量
醤油 少々
ごま油 少々
卵（溶きほぐす） 2個
レモン汁 小さじ2程度
マヨネーズ 大さじ３
胡椒 少々
豆板醤（お好みで追加） 小さじ1/2
粉末だし 1袋（4g程度）
スキムミルク 大匙３
干しぶどう 適量
ごま 大１
しょうゆ 小さじ２
塩コショウ 少々
★市販の粉末いりこだし 小さじ１
みつば 適量
コーヒーフレッシュ 1個
●酢 大さじ１
しょうゆ 小さじ1
＊日本酒 大さじ１杯
味噌 ２５ｇ
ドライイースト 小さじ1
焼きのり おにぎりの大きさで１枚
焼きのり おにぎりの大きさで1枚
青海苔 少々
お水 適量
白ゴマ（あれば） 適量
水 ５００ｃｃ～６００ｃｃ
おろしニンニク 小さじ　１
にんにく（すりおろす） １かけ分
卵黄L ３個
砂糖 ８０ｇ
料理酒 50cc
シナモン 少々
★生姜（チューブ） ４ｃｍくらい
醤油 小さじ1.5
卵　(卵黄（１））卵白 大２個
トマトジュース １本
●醤油 大さじ３
◎塩 小さじ１
ごま油 おおさじ１
ドライイースト 小匙１
☆しょうゆ 大さじ2
水 40ｃｃ
赤ワイン 600cc
具：豚バラ薄切り肉 3枚
かつお節 適量
★薄力粉 40gの1/2
砂糖 20ｇ
フルーツ 好みでサイドに
パン粉 1cup
キムチ 好きなだけ
オリーブオイル(たまごを焼く時用) 大さじ１～２
バター ひとかけ（約13g）
薄力粉 10g
塩鮭(うす塩) 2枚
イチゴ 数個
油 大さじ2
バナナ 中2本
塩 4ｇ
純ココア　と　茶こし 適当
白玉粉 80g
好みでジャム・レーズン等 大さじ2
溶かしバター １００ｇ
バナナ 1本
つきこんにゃく（ゆがく） ５０ｇ
小麦粉 ３０ｇ
粉砂糖 ２０ｇ(２７ｇ) 　　　【４０ｇ】 
ごぼう 1本
酒 大さじ１
★みりん 小さじ1
はちみつ 小さじ1
かつお節 適量
◎柿 お好きな数
すりごま 大さじ２～３
桜の葉の塩漬け 5，6枚
スキムミルク 9ｇ　　　　　　　　　　3
みりん 大さじ１
パン粉 大さじ２
塩・こしょう 適量
しょうが 多め
砂糖 大匙１
◎塩･ｺｼｮｳ 適量
バニラエッセンス 少々
もやし 1／3パックぐらい
モモ缶詰め 3個
◎オリーブ油 大さじ2
バナナ ２本（小ぶりなもの）
味噌 小さじ２
★薄口しょうゆ 大２杯
豆乳（牛乳） ５００Ｃｃ
◎みりん 大さじ１
とろけるチーズ 適量
シナモン 少々
レーズン 100～120g
ブラウンシュガー ３０ｇ
はくりき粉 １５ｇ
ドライイースト 4ｇ　　　　　　　　　　　　2
いちご（他のフルーツでも◎） 小さめ１０個位
オリーブオイルor油 大さじ１
ラー油 少々（お好みで）
キャラメルパウダー 40g
☆砂糖 小匙２
ごま油 小さじ２
ｱｯﾌﾟﾙｿｰｽ(すりおろし、ﾊﾞﾀｰ) 大4
★醤油 小さじ１
マーガリン １００ｇ
生クリーム １パック（２５０ｃｃ）
オリーブオイル 大さじ１
　　　　　　　塩コショウ 適量
スライスチーズ １枚
白ワイン 2/1カップ
小麦粉 適量
おから 50g
ドライイースト 小匙１弱
ＧＡＢＡスパイスドレッシング 適量
小麦粉 適宜
砂糖(さつまいも用) 5g
ブイヨン ２個
★だしを取ったときの昆布 20cm
☆塩コショウ 少々
★醤油 大さじ１
白ネギ（玉ねぎ） １本
酢飯の作り方は載せていませんが炊きたてのご飯２合に分量の合わせ酢をご飯を切るように混ぜます。 酢４０ｃ　砂糖大さじ３、塩少々混ぜる
濃縮タイプめんつゆ 大さじ２
マヨネーズ 大さじ２
＊しょうゆ 大さじ１．５
玉ネギ 中１個
ケチャップ 大2~大4
パセリや青のり 少量
薄力粉 1カップ
グラニュー糖 ７０ｇ
黒糖 適宜
酒 大匙２
一味唐辛子など お好みで
塩 ひとつまみ
★醤油 小さじ１
ローリエ １枚
コンソメ 小さじ2
シナモンスティック 1本
片栗粉 大さじ2
塩 適量（少し多めに）
黒胡椒 少々
●BP 小さじ1/2
油 少々
溶けるチーズ １枚
砂糖 小さじ1
ベーキングパウダー 小さじ1
●鰹節 ひとつまみ
コチュジャン 小さじ１～
★サニーレタス・キャベツ・青じそ 適量
☆さとう 大さじ３
EXVオリーブオイル 大さじ2
マーマレード カレースプーン山盛り3杯
◎応用材料 適量
鷹の爪（種を取り除きます） 半分
白ネギみじんぎり 約5cm
＊ガーリックパウダー 適量
七味唐辛子 適量
だし醤油 大さじ２
ショウガ(すりおろし) 小さじ1
トマトケチャップ 大さじ２
カレールー 1欠け（12皿分のルーの1/8）
ほんだし 適量
ボイル海老 8or16尾
バター ２０ｇ
しょうがすりおろし 小さじ１／２
塩・こしょう 少々
水 酒，しょう油と合わせてカップ３．３
☆ジャガイモ☆ 小３個
◆胡麻油 小匙１
A　酒 小さじ１
サラダ油 ６０ｃｃ
7-11　ごま油 @278- 小さじ２程度
◎長ネギ 1/2本
生クリーム １００ｇ
桜でんぶ 適量
アーモンドスライス又は砕いたくるみ 20g
牛乳 １００cc
塩 たくさん
ミックスフルーツ（ﾄﾞﾗｲﾌﾙｰﾂを洋酒に漬けた物） 120ｇ
◎バター ５ｇ
海苔 １／２シート
☆塩 少々
☆カニ缶☆ １缶
みりん 大1・1/2
☆みりん 大さじ2強
牛乳 約200㏄
◎醤油 大匙３
グリーンカレーペースト 50ｇ
生クリーム 100cc
白ワイン 50cc
☆卵 Ｓ～Ｍ４個　Ｌなら３個
バター 大匙1
万能葱みじん　● 大匙２
だしの素(ほんだし) 小さじ１/２
　みそ 大さじ2
豆乳（牛乳） 100ml
玉子 1個
白ごま あってもいいかも
水菜 １株
マーガリン 大さじ3
卵　（Lサイズ） １個
